poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_LOG_014811,Census logistics 52385660,138.756250,35.137500,MFS70,LOGISTICS_HUB,low
CEN_LOG_014812,Census logistics 52385673,138.793750,35.145833,MFS70,LOGISTICS_HUB,low
CEN_LOG_014813,Census logistics 52384734,138.931250,35.029167,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014814,Census logistics 52384752,138.906250,35.045833,MFS70,LOGISTICS_HUB,low
CEN_LOG_014815,Census logistics 52384770,138.881250,35.062500,MFS70,LOGISTICS_HUB,low
CEN_LOG_014816,Census logistics 52382102,138.156250,34.837500,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014817,Census logistics 52384794,138.931250,35.079167,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014818,Census logistics 52385687,138.843750,35.154167,MFS70,LOGISTICS_HUB,low
CEN_LOG_014819,Census logistics 52386526,138.706250,35.187500,MFS70,LOGISTICS_HUB,low
CEN_LOG_014820,Census logistics 52385733,138.918750,35.112500,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014821,Census logistics 52386550,138.631250,35.212500,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014822,Census logistics 52385237,138.343750,35.112500,MFS70,LOGISTICS_HUB,low
CEN_LOG_014823,Census logistics 52386560,138.631250,35.220833,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014824,Census logistics 52385742,138.906250,35.120833,MFS70,LOGISTICS_HUB,high
CEN_LOG_014825,Census logistics 52385766,138.956250,35.137500,MFS70,LOGISTICS_HUB,low
CEN_LOG_014826,Census logistics 52386609,138.868750,35.170833,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014827,Census logistics 52385414,138.556250,35.095833,MFS70,LOGISTICS_HUB,low
CEN_LOG_014828,Census logistics 52385437,138.593750,35.112500,MFS70,LOGISTICS_HUB,low
CEN_LOG_014829,Census logistics 52386398,138.481250,35.245833,MFS69,LOGISTICS_HUB,low
CEN_LOG_014830,Census logistics 52386511,138.643750,35.179167,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014831,Census logistics 52385481,138.518750,35.154167,MFS70,LOGISTICS_HUB,low
CEN_LOG_014832,Census logistics 52386521,138.643750,35.187500,MFS70,LOGISTICS_HUB,medium
CEN_LOG_014833,Census logistics 52387510,138.631250,35.262500,MFS70,LOGISTICS_HUB,low
