origin_facility,office,factory,store,logistics,residential,construction,other
office,0.055412826577495036,0.34398363374384905,0.0799146344778838,0.3149348883995324,0.03047603512492184,0.12083707147323491,0.05444091020308295
factory,0.018745931109644863,0.45163631386941505,0.02674465543208241,0.22629402484432276,0.01728819326515071,0.2350228736771594,0.024268007802224777
store,0.11908646003262642,0.23271153982551954,0.4055606780622739,0.08114050641889496,0.05766366408965175,0.09936874955670615,0.004468402014327257
logistics,0.08845488002566859,0.26036620844716984,0.06199252450129421,0.560140411032706,0.008588921799387498,0.015183259863372212,0.005273794330401718
residential,0.007209612817089452,0.9612817089452603,0.0,0.02883845126835781,0.0,0.0,0.0026702269692923898
construction,0.008062418725617686,0.9888166449934981,0.0,0.0,0.0,0.0,0.0031209362808842654
other,0.006773431346810186,0.5701233919663954,0.08052857267874333,0.1156559026866194,0.01403693007788571,0.07445523759516934,0.13842653364837665
